# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	1.912204e-10	3.205366e+02	-2.065763e-06	-1.032690e-06	-1.033073e-06
0.01          	7.878714e-09	7.097981e+00	1.537009e-06	7.763834e-07	7.606260e-07
0.015         	3.375409e-09	7.118010e+00	5.438824e-08	3.056953e-08	2.381871e-08
0.02          	-2.120839e-09	5.949759e+00	1.818790e-07	8.881865e-08	9.306033e-08
0.025         	-6.159231e-09	5.514987e+00	3.863224e-07	1.870020e-07	1.993204e-07
0.03          	-9.147276e-09	5.172363e+00	-3.345448e-07	-1.764197e-07	-1.581251e-07
0.035         	-1.139793e-08	4.870851e+00	1.564176e-07	6.681088e-08	8.960674e-08
0.04          	-1.317375e-08	4.599535e+00	8.681779e-08	3.023514e-08	5.658265e-08
0.045         	-1.459016e-08	4.354458e+00	6.050590e-08	1.566280e-08	4.484311e-08
0.05          	-1.571323e-08	4.132897e+00	1.645160e-07	6.654478e-08	9.797124e-08
0.055         	-1.664898e-08	3.932542e+00	9.807024e-08	3.238614e-08	6.568410e-08
0.06          	-1.741276e-08	3.751144e+00	8.962987e-08	2.740218e-08	6.222770e-08
0.065         	-1.803353e-08	3.586789e+00	1.009448e-07	3.243884e-08	6.850591e-08
0.07          	-1.853267e-08	3.437749e+00	9.963068e-08	3.128267e-08	6.834801e-08
0.075         	-1.892552e-08	3.302266e+00	9.912810e-08	3.063852e-08	6.848957e-08
0.08          	-1.922425e-08	3.178917e+00	1.056445e-07	3.359802e-08	7.204652e-08
0.085         	-1.944062e-08	3.066443e+00	1.018241e-07	3.147142e-08	7.035266e-08
0.09          	-1.958382e-08	2.963702e+00	1.016224e-07	3.122736e-08	7.039500e-08
0.095         	-1.966251e-08	2.869581e+00	8.126411e-08	2.096955e-08	6.029456e-08
0.1           	-1.967598e-08	2.783283e+00	9.606021e-08	2.835412e-08	6.770609e-08
0.105         	-1.964097e-08	2.704007e+00	1.012465e-07	3.098230e-08	7.026425e-08
0.11          	-1.956327e-08	2.630985e+00	8.153735e-08	2.120540e-08	6.033195e-08
0.115         	-1.944650e-08	2.563632e+00	9.250733e-08	2.680717e-08	6.570017e-08
0.12          	-1.929795e-08	2.501344e+00	8.748789e-08	2.444599e-08	6.304190e-08
0.125         	-1.912271e-08	2.443828e+00	9.551856e-08	2.863657e-08	6.688199e-08
0.13          	-1.892456e-08	2.390401e+00	7.963014e-08	2.089052e-08	5.873963e-08
0.135         	-1.871168e-08	2.340819e+00	9.257262e-08	2.757463e-08	6.499799e-08
0.14          	-1.848281e-08	2.294698e+00	9.496937e-08	2.900187e-08	6.596749e-08
0.145         	-1.824101e-08	2.251802e+00	9.718098e-08	3.034948e-08	6.683150e-08
0.15          	-1.798936e-08	2.211779e+00	9.887426e-08	3.144777e-08	6.742649e-08
0.155         	-1.773008e-08	2.174370e+00	8.101334e-08	2.277659e-08	5.823675e-08
0.16          	-1.746719e-08	2.139382e+00	9.393400e-08	2.949981e-08	6.443420e-08
0.165         	-1.720122e-08	2.106595e+00	9.273956e-08	2.916856e-08	6.357100e-08
0.17          	-1.693383e-08	2.075987e+00	7.917686e-08	2.265461e-08	5.652226e-08
0.175         	-1.666472e-08	2.047150e+00	9.041891e-08	2.854474e-08	6.187418e-08
0.18          	-1.639671e-08	2.020041e+00	8.040862e-08	2.380760e-08	5.660101e-08
0.185         	-1.613090e-08	1.994583e+00	8.468565e-08	2.621193e-08	5.847372e-08
0.19          	-1.136813e-08	1.970520e+00	1.461241e-07	6.169393e-08	8.443019e-08
0.195         	-7.173113e-09	1.947932e+00	1.080846e-07	4.686920e-08	6.121542e-08
0.2           	-3.478353e-09	1.926560e+00	1.493103e-07	7.117681e-08	7.813351e-08
0.205         	-2.345231e-10	1.906369e+00	1.320260e-07	6.577847e-08	6.624751e-08
0.21          	2.605084e-09	1.887246e+00	1.648619e-07	8.503603e-08	7.982586e-08
0.215         	5.087805e-09	1.869185e+00	1.751601e-07	9.266786e-08	8.249225e-08
0.22          	7.253622e-09	1.852040e+00	1.744949e-07	9.450109e-08	7.999385e-08
0.225         	9.136572e-09	1.835791e+00	1.771345e-07	9.770382e-08	7.943068e-08
0.23          	1.076760e-08	1.820365e+00	1.886980e-07	1.051166e-07	8.358139e-08
0.235         	1.217425e-08	1.805716e+00	1.774093e-07	1.008789e-07	7.653038e-08
0.24          	1.338084e-08	1.791753e+00	1.883406e-07	1.075512e-07	8.078947e-08
0.245         	1.440913e-08	1.778487e+00	1.925650e-07	1.106916e-07	8.187340e-08
0.25          	2.132121e-08	1.765906e+00	1.574850e-07	1.000637e-07	5.742131e-08
0.255         	2.722723e-08	1.753909e+00	1.442171e-07	9.933578e-08	4.488131e-08
0.26          	3.225142e-08	1.742464e+00	1.268468e-07	9.567483e-08	3.117200e-08
0.265         	3.650593e-08	1.731521e+00	1.197399e-07	9.637590e-08	2.336405e-08
0.27          	4.008356e-08	1.721131e+00	1.098281e-07	9.499760e-08	1.483047e-08
0.275         	4.307042e-08	1.711267e+00	9.046194e-08	8.830139e-08	2.160553e-09
0.28          	4.554286e-08	1.701771e+00	9.759735e-08	9.434154e-08	3.255811e-09
0.285         	4.756304e-08	1.692524e+00	7.225051e-08	8.368830e-08	-1.143779e-08
0.29          	4.918522e-08	1.683887e+00	1.217384e-07	1.100544e-07	1.168396e-08
0.295         	5.046563e-08	1.675596e+00	6.207910e-08	8.150518e-08	-1.942608e-08
0.3           	5.145024e-08	1.667680e+00	1.005451e-07	1.017228e-07	-1.177676e-09
0.305         	5.217476e-08	1.660172e+00	6.138690e-08	8.286821e-08	-2.148131e-08
0.31          	5.267088e-08	1.652874e+00	5.275131e-08	7.904654e-08	-2.629523e-08
0.315         	5.297134e-08	1.646002e+00	6.549251e-08	8.571760e-08	-2.022509e-08
