# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.01          	2.978705e-10	1.709112e+02	-1.330497e-06	-6.649506e-07	-6.655464e-07
0.02          	-9.291723e-08	2.675292e+00	3.669462e-06	1.741814e-06	1.927648e-06
0.03          	1.722006e-08	6.022171e+00	9.365091e-07	4.854746e-07	4.510345e-07
0.04          	4.210254e-08	4.464185e+00	6.204544e-07	3.523297e-07	2.681246e-07
0.05          	1.458828e-07	3.851798e+00	1.365387e-06	8.285760e-07	5.368105e-07
0.06          	2.192590e-07	3.417681e+00	1.498238e-06	9.683781e-07	5.298600e-07
0.07          	2.707272e-07	3.103022e+00	1.665715e-06	1.103585e-06	5.621305e-07
0.08          	3.064006e-07	2.862793e+00	1.769869e-06	1.191335e-06	5.785338e-07
0.09          	3.307036e-07	2.674231e+00	1.839021e-06	1.250214e-06	5.888070e-07
0.1           	3.467737e-07	2.522713e+00	1.899095e-06	1.296321e-06	6.027736e-07
0.11          	3.568414e-07	2.398459e+00	1.943113e-06	1.328398e-06	6.147153e-07
0.12          	3.625344e-07	2.294742e+00	1.972736e-06	1.348903e-06	6.238338e-07
0.13          	3.650361e-07	2.206830e+00	1.995580e-06	1.362826e-06	6.327540e-07
0.14          	3.652147e-07	2.131331e+00	2.015653e-06	1.373041e-06	6.426120e-07
0.15          	3.637099e-07	2.065767e+00	2.028063e-06	1.377741e-06	6.503215e-07
0.16          	3.609982e-07	2.008294e+00	2.035709e-06	1.378852e-06	6.568561e-07
0.17          	3.574290e-07	1.957505e+00	2.035889e-06	1.375374e-06	6.605156e-07
0.18          	3.532625e-07	1.912329e+00	2.032101e-06	1.369313e-06	6.627882e-07
0.19          	3.486858e-07	1.871910e+00	2.027372e-06	1.362372e-06	6.650003e-07
0.2           	3.438414e-07	1.835585e+00	2.021252e-06	1.354468e-06	6.667849e-07
0.21          	3.388304e-07	1.802788e+00	2.019916e-06	1.348788e-06	6.711276e-07
0.22          	3.337212e-07	1.773095e+00	2.020167e-06	1.343805e-06	6.763624e-07
0.23          	3.285745e-07	1.746112e+00	2.014918e-06	1.336034e-06	6.788848e-07
0.24          	3.234290e-07	1.721553e+00	2.007143e-06	1.327001e-06	6.801425e-07
0.25          	3.183129e-07	1.699132e+00	1.997201e-06	1.316914e-06	6.802878e-07
0.26          	3.132458e-07	1.678641e+00	1.985052e-06	1.305772e-06	6.792800e-07
0.27          	4.035591e-07	1.659873e+00	1.872006e-06	1.339562e-06	5.324438e-07
0.28          	4.679107e-07	1.642678e+00	2.017347e-06	1.476584e-06	5.407626e-07
0.29          	5.139679e-07	1.626909e+00	2.118410e-06	1.573173e-06	5.452370e-07
0.3           	5.468380e-07	1.612426e+00	2.202716e-06	1.648196e-06	5.545202e-07
0.31          	6.021943e-07	1.599118e+00	2.479895e-06	1.842142e-06	6.377531e-07
0.32          	6.417952e-07	1.586899e+00	2.592206e-06	1.937898e-06	6.543080e-07
0.33          	6.697882e-07	1.575671e+00	2.657919e-06	1.998748e-06	6.591712e-07
0.34          	6.890526e-07	1.565352e+00	2.766457e-06	2.072281e-06	6.941759e-07
0.35          	7.016630e-07	1.555875e+00	2.758842e-06	2.081084e-06	6.777579e-07
0.36          	7.091291e-07	1.547180e+00	2.838005e-06	2.128132e-06	7.098736e-07
0.37          	7.125939e-07	1.539200e+00	2.871948e-06	2.148568e-06	7.233801e-07
0.38          	7.129184e-07	1.531886e+00	2.875675e-06	2.150756e-06	7.249192e-07
0.39          	7.107686e-07	1.525191e+00	2.911877e-06	2.166707e-06	7.451696e-07
0.4           	7.066684e-07	1.519079e+00	2.931589e-06	2.172463e-06	7.591263e-07
0.41          	7.010314e-07	1.513492e+00	2.965025e-06	2.183544e-06	7.814809e-07
0.42          	6.941800e-07	1.508407e+00	3.101345e-06	2.244853e-06	8.564925e-07
0.43          	6.863688e-07	1.503787e+00	2.953584e-06	2.163161e-06	7.904234e-07
0.44          	6.778227e-07	1.499602e+00	2.990815e-06	2.173230e-06	8.175848e-07
0.45          	6.687136e-07	1.495829e+00	3.012681e-06	2.175054e-06	8.376268e-07
0.46          	6.591752e-07	1.492427e+00	3.026528e-06	2.172439e-06	8.540889e-07
0.47          	6.493249e-07	1.489380e+00	3.034257e-06	2.166453e-06	8.678035e-07
0.48          	6.392560e-07	1.486667e+00	3.043390e-06	2.160951e-06	8.824388e-07
0.49          	6.290461e-07	1.484265e+00	3.074262e-06	2.166177e-06	9.080849e-07
0.5           	6.187572e-07	1.482152e+00	3.055187e-06	2.146351e-06	9.088364e-07
0.51          	6.084423e-07	1.480318e+00	3.065734e-06	2.141309e-06	9.244245e-07
0.52          	5.981452e-07	1.478734e+00	3.061206e-06	2.128748e-06	9.324581e-07
0.53          	5.879009e-07	1.477389e+00	3.064389e-06	2.120095e-06	9.442935e-07
0.54          	5.777383e-07	1.476268e+00	3.061369e-06	2.108423e-06	9.529461e-07
0.55          	5.676815e-07	1.475358e+00	2.999485e-06	2.067424e-06	9.320610e-07
0.56          	5.577564e-07	1.474643e+00	3.079888e-06	2.097701e-06	9.821877e-07
0.57          	5.479663e-07	1.474112e+00	3.057401e-06	2.076667e-06	9.807341e-07
0.58          	5.383295e-07	1.473759e+00	3.052846e-06	2.064752e-06	9.880933e-07
0.59          	5.288569e-07	1.473570e+00	3.048336e-06	2.053025e-06	9.953113e-07
0.6           	5.195560e-07	1.473524e+00	3.043130e-06	2.041121e-06	1.002009e-06
0.61          	5.104331e-07	1.473618e+00	3.033969e-06	2.027418e-06	1.006552e-06
0.62          	5.014926e-07	1.473846e+00	3.031680e-06	2.017333e-06	1.014347e-06
0.63          	4.927375e-07	1.474197e+00	3.014520e-06	1.999998e-06	1.014522e-06
0.64          	4.841689e-07	1.474664e+00	3.011610e-06	1.989974e-06	1.021636e-06
0.65          	4.757898e-07	1.475235e+00	3.003442e-06	1.977511e-06	1.025931e-06
0.66          	4.676005e-07	1.475906e+00	2.993382e-06	1.964291e-06	1.029090e-06
0.67          	4.596001e-07	1.476670e+00	2.983859e-06	1.951530e-06	1.032329e-06
0.68          	4.517879e-07	1.477521e+00	2.966536e-06	1.935056e-06	1.031480e-06
0.69          	4.441642e-07	1.478454e+00	2.959933e-06	1.924131e-06	1.035802e-06
0.7           	4.367256e-07	1.479453e+00	2.951669e-06	1.912560e-06	1.039109e-06
0.71          	4.294695e-07	1.480520e+00	2.939783e-06	1.899361e-06	1.040422e-06
0.72          	4.727117e-07	1.481636e+00	2.917235e-06	1.931329e-06	9.859056e-07
0.73          	5.055762e-07	1.482825e+00	2.985972e-06	1.998562e-06	9.874100e-07
0.74          	5.308029e-07	1.484065e+00	3.043085e-06	2.052346e-06	9.907397e-07
0.75          	5.502558e-07	1.485350e+00	3.091209e-06	2.095860e-06	9.953488e-07
0.76          	5.652436e-07	1.486681e+00	3.138207e-06	2.134347e-06	1.003860e-06
0.77          	5.767131e-07	1.488048e+00	3.172298e-06	2.162862e-06	1.009436e-06
0.78          	5.853712e-07	1.489445e+00	3.223615e-06	2.197179e-06	1.026436e-06
0.79          	5.917492e-07	1.490880e+00	3.253754e-06	2.218626e-06	1.035128e-06
0.8           	5.962666e-07	1.492339e+00	3.289709e-06	2.241121e-06	1.048588e-06
0.81          	5.992521e-07	1.493819e+00	3.316646e-06	2.257575e-06	1.059071e-06
0.82          	6.009675e-07	1.495323e+00	3.337050e-06	2.269493e-06	1.067558e-06
0.83          	6.016278e-07	1.496846e+00	3.366913e-06	2.285084e-06	1.081829e-06
0.84          	6.014078e-07	1.498383e+00	3.389633e-06	2.296224e-06	1.093409e-06
0.85          	6.004503e-07	1.499929e+00	3.407948e-06	2.304424e-06	1.103524e-06
0.86          	5.988749e-07	1.501481e+00	3.437411e-06	2.317580e-06	1.119831e-06
0.87          	5.967769e-07	1.503041e+00	3.454904e-06	2.324229e-06	1.130675e-06
0.88          	5.942437e-07	1.504604e+00	3.452259e-06	2.320373e-06	1.131886e-06
0.89          	5.913487e-07	1.506171e+00	3.488442e-06	2.335570e-06	1.152873e-06
0.9           	5.881469e-07	1.507739e+00	3.495686e-06	2.335990e-06	1.159696e-06
0.91          	5.846934e-07	1.509300e+00	3.509770e-06	2.339578e-06	1.170192e-06
0.92          	5.842004e-07	1.510856e+00	3.612851e-06	2.390626e-06	1.222225e-06
0.93          	5.826256e-07	1.512406e+00	3.614988e-06	2.390120e-06	1.224868e-06
0.94          	5.802985e-07	1.513952e+00	3.641624e-06	2.401110e-06	1.240514e-06
0.95          	5.774422e-07	1.515488e+00	3.647596e-06	2.401240e-06	1.246356e-06
0.96          	5.742060e-07	1.517014e+00	3.658838e-06	2.403625e-06	1.255213e-06
0.97          	5.706944e-07	1.518525e+00	3.667297e-06	2.404343e-06	1.262954e-06
0.98          	5.669808e-07	1.520017e+00	3.670102e-06	2.402032e-06	1.268070e-06
0.99          	5.631187e-07	1.521501e+00	3.699131e-06	2.412684e-06	1.286447e-06
1             	5.591511e-07	1.522966e+00	3.700921e-06	2.409612e-06	1.291309e-06
1.01          	5.551061e-07	1.524414e+00	3.705690e-06	2.407951e-06	1.297739e-06
1.02          	5.510090e-07	1.525845e+00	3.714290e-06	2.408154e-06	1.306136e-06
1.03          	5.468789e-07	1.527257e+00	3.735848e-06	2.414803e-06	1.321045e-06
1.04          	5.427302e-07	1.528645e+00	3.739677e-06	2.412569e-06	1.327108e-06
1.05          	5.385756e-07	1.530017e+00	3.732243e-06	2.404697e-06	1.327546e-06
1.06          	5.344305e-07	1.531356e+00	3.767186e-06	2.418024e-06	1.349163e-06
1.07          	5.302971e-07	1.532682e+00	3.758642e-06	2.409618e-06	1.349024e-06
1.08          	5.261863e-07	1.533983e+00	3.760889e-06	2.406631e-06	1.354258e-06
1.09          	5.221033e-07	1.535257e+00	3.774307e-06	2.409257e-06	1.365050e-06
1.1           	5.180522e-07	1.536504e+00	3.771700e-06	2.403902e-06	1.367798e-06
1.11          	5.140385e-07	1.537729e+00	3.820143e-06	2.424110e-06	1.396033e-06
1.12          	5.100631e-07	1.538929e+00	3.821990e-06	2.421058e-06	1.400932e-06
1.13          	5.061335e-07	1.540103e+00	3.805582e-06	2.408924e-06	1.396657e-06
1.14          	5.022485e-07	1.541246e+00	3.789283e-06	2.396890e-06	1.392393e-06
1.15          	4.984066e-07	1.542366e+00	3.810409e-06	2.403611e-06	1.406798e-06
1.16          	4.946140e-07	1.543459e+00	3.787941e-06	2.388584e-06	1.399356e-06
