# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.01          	4.213146e-10	1.732257e+02	-1.978719e-06	-9.889382e-07	-9.897808e-07
0.02          	-8.912952e-08	2.885479e+00	3.724034e-06	1.772888e-06	1.951147e-06
0.03          	-2.322206e-08	6.073465e+00	-7.596674e-07	-4.030558e-07	-3.566117e-07
0.04          	2.779919e-08	4.500557e+00	9.295025e-07	4.925504e-07	4.369521e-07
0.05          	7.484747e-08	3.864286e+00	8.356918e-07	4.926934e-07	3.429984e-07
0.06          	1.865390e-07	3.427498e+00	1.253422e-06	8.132500e-07	4.401719e-07
0.07          	2.613374e-07	3.116548e+00	1.344267e-06	9.334711e-07	4.107963e-07
0.08          	3.113472e-07	2.880320e+00	1.531597e-06	1.077146e-06	4.544514e-07
0.09          	3.445045e-07	2.694801e+00	1.647877e-06	1.168443e-06	4.794342e-07
0.1           	3.660338e-07	2.545586e+00	1.717155e-06	1.224611e-06	4.925435e-07
0.11          	3.794295e-07	2.423063e+00	1.763574e-06	1.261216e-06	5.023572e-07
0.12          	3.870720e-07	2.320569e+00	1.802447e-06	1.288295e-06	5.141513e-07
0.13          	3.906313e-07	2.233454e+00	1.832049e-06	1.306656e-06	5.253931e-07
0.14          	3.912801e-07	2.158426e+00	1.850296e-06	1.316428e-06	5.338680e-07
0.15          	3.898557e-07	2.093106e+00	1.873105e-06	1.326408e-06	5.466967e-07
0.16          	3.869684e-07	2.035722e+00	1.885835e-06	1.329886e-06	5.559491e-07
0.17          	3.830533e-07	1.984923e+00	1.884456e-06	1.325281e-06	5.591747e-07
0.18          	3.784356e-07	1.939676e+00	1.894467e-06	1.325669e-06	5.687981e-07
0.19          	3.733396e-07	1.899151e+00	1.911102e-06	1.328891e-06	5.822116e-07
0.2           	3.679256e-07	1.862706e+00	1.920394e-06	1.328123e-06	5.922717e-07
0.21          	3.623243e-07	1.829787e+00	1.896216e-06	1.310432e-06	5.857836e-07
