# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-5.860751e-10	3.379238e+02	4.753217e-06	2.376022e-06	2.377194e-06
0.01          	-1.553327e-07	3.748413e+00	-3.552782e-07	-3.329718e-07	-2.230641e-08
0.015         	-6.818205e-08	8.261230e+00	1.104478e-08	-6.265966e-08	7.370444e-08
0.02          	-3.008944e-08	6.586735e+00	6.912459e-07	3.155335e-07	3.757124e-07
0.025         	8.193061e-09	5.686231e+00	5.955972e-07	3.059917e-07	2.896055e-07
0.03          	9.096979e-08	5.013936e+00	1.248815e-06	7.153775e-07	5.334379e-07
0.035         	1.511094e-07	4.510414e+00	1.469021e-06	8.856197e-07	5.834009e-07
0.04          	1.953161e-07	4.124340e+00	1.525823e-06	9.582276e-07	5.675954e-07
0.045         	2.280293e-07	3.821261e+00	1.646127e-06	1.051093e-06	5.950343e-07
0.05          	2.522793e-07	3.577809e+00	1.682789e-06	1.093674e-06	5.891150e-07
0.055         	2.702038e-07	3.378104e+00	1.723261e-06	1.131834e-06	5.914265e-07
0.06          	2.833422e-07	3.211202e+00	1.750554e-06	1.158619e-06	5.919346e-07
0.065         	2.928100e-07	3.069432e+00	1.769782e-06	1.177701e-06	5.920809e-07
0.07          	2.994370e-07	2.947293e+00	1.783087e-06	1.190981e-06	5.921066e-07
0.075         	3.038545e-07	2.840775e+00	1.793698e-06	1.200703e-06	5.929944e-07
0.08          	3.065411e-07	2.746891e+00	1.799105e-06	1.206094e-06	5.930112e-07
0.085         	3.078667e-07	2.663382e+00	1.802919e-06	1.209326e-06	5.935925e-07
0.09          	4.275745e-07	2.588492e+00	1.789690e-06	1.322420e-06	4.672706e-07
0.095         	5.132865e-07	2.520892e+00	1.925676e-06	1.476124e-06	4.495515e-07
0.1           	5.749848e-07	2.459477e+00	2.024199e-06	1.587084e-06	4.371146e-07
0.105         	6.193708e-07	2.403397e+00	2.108593e-06	1.673667e-06	4.349257e-07
0.11          	6.510376e-07	2.351936e+00	2.171523e-06	1.736799e-06	4.347237e-07
0.115         	6.732066e-07	2.304528e+00	2.226648e-06	1.786531e-06	4.401175e-07
0.12          	6.881857e-07	2.260681e+00	2.264487e-06	1.820429e-06	4.440579e-07
0.125         	6.976635e-07	2.220008e+00	2.296268e-06	1.845797e-06	4.504705e-07
0.13          	7.028944e-07	2.182157e+00	2.327951e-06	1.866870e-06	4.610808e-07
0.135         	7.048267e-07	2.146849e+00	2.335866e-06	1.872760e-06	4.631064e-07
0.14          	7.041865e-07	2.113831e+00	2.345739e-06	1.877056e-06	4.686828e-07
0.145         	7.015314e-07	2.082884e+00	2.368577e-06	1.885820e-06	4.827569e-07
0.15          	6.972975e-07	2.053837e+00	2.371418e-06	1.883007e-06	4.884116e-07
0.155         	6.918319e-07	2.026506e+00	2.376860e-06	1.880262e-06	4.965982e-07
0.16          	6.854042e-07	2.000759e+00	2.377582e-06	1.874195e-06	5.033867e-07
0.165         	6.782344e-07	1.976473e+00	2.332892e-06	1.844680e-06	4.882114e-07
0.17          	6.704937e-07	1.953517e+00	2.366486e-06	1.853737e-06	5.127491e-07
0.175         	6.623254e-07	1.931810e+00	2.363988e-06	1.844320e-06	5.196688e-07
0.18          	6.538396e-07	1.911254e+00	2.365077e-06	1.836378e-06	5.286991e-07
0.185         	6.451289e-07	1.891758e+00	2.368535e-06	1.829397e-06	5.391387e-07
0.19          	6.362664e-07	1.873263e+00	2.367729e-06	1.820131e-06	5.475978e-07
0.195         	6.273129e-07	1.855698e+00	2.368022e-06	1.811324e-06	5.566980e-07
0.2           	6.183175e-07	1.838995e+00	2.366276e-06	1.801456e-06	5.648207e-07
0.205         	6.093185e-07	1.823104e+00	2.368258e-06	1.793447e-06	5.748105e-07
0.21          	6.003477e-07	1.807985e+00	2.370586e-06	1.785641e-06	5.849452e-07
0.215         	5.914304e-07	1.793574e+00	2.368558e-06	1.775709e-06	5.928484e-07
0.22          	5.825893e-07	1.779839e+00	2.367047e-06	1.766113e-06	6.009342e-07
0.225         	5.738394e-07	1.766739e+00	2.366316e-06	1.756998e-06	6.093188e-07
0.23          	5.651939e-07	1.754241e+00	2.358933e-06	1.744660e-06	6.142727e-07
0.235         	5.566649e-07	1.742306e+00	2.355573e-06	1.734451e-06	6.211215e-07
0.24          	5.482603e-07	1.730908e+00	2.351742e-06	1.724131e-06	6.276106e-07
0.245         	5.399862e-07	1.720018e+00	2.346241e-06	1.713107e-06	6.331341e-07
0.25          	5.318467e-07	1.709611e+00	2.339172e-06	1.701433e-06	6.377391e-07
0.255         	5.238451e-07	1.699658e+00	2.339104e-06	1.693397e-06	6.457071e-07
0.26          	5.159835e-07	1.690136e+00	2.328936e-06	1.680452e-06	6.484848e-07
0.265         	5.082621e-07	1.681029e+00	2.321207e-06	1.668866e-06	6.523416e-07
0.27          	5.006819e-07	1.672323e+00	2.308831e-06	1.655098e-06	6.537338e-07
0.275         	4.932431e-07	1.663981e+00	2.307641e-06	1.647064e-06	6.605776e-07
0.28          	4.859441e-07	1.655996e+00	2.287027e-06	1.629458e-06	6.575697e-07
0.285         	4.787833e-07	1.648354e+00	2.237209e-06	1.597388e-06	6.398210e-07
0.29          	4.717636e-07	1.641035e+00	2.314479e-06	1.629003e-06	6.854760e-07
0.295         	4.648772e-07	1.634035e+00	2.289454e-06	1.609604e-06	6.798497e-07
0.3           	4.581242e-07	1.627325e+00	2.273058e-06	1.594653e-06	6.784050e-07
0.305         	4.515021e-07	1.620897e+00	2.280322e-06	1.591663e-06	6.886588e-07
0.31          	4.450095e-07	1.614742e+00	2.257831e-06	1.573925e-06	6.839060e-07
0.315         	4.386432e-07	1.608847e+00	2.256103e-06	1.566695e-06	6.894084e-07
0.32          	4.324014e-07	1.603204e+00	2.248567e-06	1.556685e-06	6.918821e-07
0.325         	4.262815e-07	1.597809e+00	2.233606e-06	1.543085e-06	6.905215e-07
0.33          	4.202812e-07	1.592634e+00	2.226688e-06	1.533625e-06	6.930630e-07
0.335         	4.143975e-07	1.587681e+00	2.219758e-06	1.524277e-06	6.954817e-07
0.34          	4.086278e-07	1.582941e+00	2.155087e-06	1.486171e-06	6.689155e-07
