# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-3.520293e-10	3.379238e+02	1.987398e-06	9.933469e-07	9.940509e-07
0.01          	-9.435056e-08	3.748407e+00	-2.290213e-06	-1.239457e-06	-1.050756e-06
0.015         	-1.429505e-08	8.261227e+00	2.012749e-06	9.920797e-07	1.020670e-06
0.02          	-4.063177e-08	6.586733e+00	1.639094e-06	7.789151e-07	8.601787e-07
0.025         	-4.474255e-08	5.686229e+00	1.821503e-06	8.660090e-07	9.554941e-07
0.03          	-3.992611e-08	5.013943e+00	1.792682e-06	8.564149e-07	9.362671e-07
0.035         	-3.044424e-08	4.510419e+00	2.052434e-06	9.957728e-07	1.056661e-06
0.04          	-1.905186e-08	4.124344e+00	2.107815e-06	1.034856e-06	1.072959e-06
0.045         	-7.379881e-09	3.821264e+00	2.165313e-06	1.075276e-06	1.090036e-06
0.05          	3.650627e-09	3.577811e+00	2.201895e-06	1.104598e-06	1.097297e-06
0.055         	1.355623e-08	3.378106e+00	2.236315e-06	1.131714e-06	1.104601e-06
0.06          	2.213705e-08	3.211204e+00	2.261237e-06	1.152755e-06	1.108481e-06
0.065         	2.935645e-08	3.069434e+00	2.281956e-06	1.170334e-06	1.111621e-06
0.07          	3.527328e-08	2.947295e+00	2.296261e-06	1.183404e-06	1.112857e-06
0.075         	3.998144e-08	2.840776e+00	2.304463e-06	1.192213e-06	1.112250e-06
0.08          	4.361610e-08	2.746892e+00	2.306480e-06	1.196856e-06	1.109624e-06
0.085         	4.629999e-08	2.663383e+00	2.296774e-06	1.194687e-06	1.102087e-06
0.09          	4.815732e-08	2.588503e+00	2.297873e-06	1.197094e-06	1.100779e-06
0.095         	4.930046e-08	2.520900e+00	2.292914e-06	1.195757e-06	1.097157e-06
0.1           	4.983484e-08	2.459484e+00	2.285731e-06	1.192700e-06	1.093030e-06
0.105         	4.985007e-08	2.403402e+00	2.271533e-06	1.185617e-06	1.085916e-06
0.11          	4.942737e-08	2.351939e+00	2.261654e-06	1.180254e-06	1.081400e-06
0.115         	4.863460e-08	2.304530e+00	2.256496e-06	1.176882e-06	1.079613e-06
0.12          	4.753183e-08	2.260682e+00	2.243160e-06	1.169112e-06	1.074048e-06
0.125         	4.616981e-08	2.220008e+00	2.233432e-06	1.162886e-06	1.070546e-06
0.13          	4.459304e-08	2.182157e+00	2.229019e-06	1.159102e-06	1.069916e-06
0.135         	4.283943e-08	2.146848e+00	2.205795e-06	1.145737e-06	1.060058e-06
0.14          	4.094073e-08	2.113829e+00	2.201555e-06	1.141718e-06	1.059837e-06
