# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.01          	1.847912e-10	1.736098e+02	-5.211411e-07	-2.603858e-07	-2.607553e-07
0.02          	-9.068658e-08	2.607945e+00	-6.921570e-08	-1.252944e-07	5.607873e-08
0.03          	-2.097848e-08	6.028562e+00	4.007636e-07	1.794033e-07	2.213603e-07
0.04          	2.987760e-08	4.479123e+00	7.275833e-07	3.936692e-07	3.339140e-07
0.05          	1.482549e-07	3.856997e+00	1.280111e-06	7.883105e-07	4.918008e-07
0.06          	2.304204e-07	3.423600e+00	1.388920e-06	9.248802e-07	4.640395e-07
0.07          	2.872098e-07	3.113384e+00	1.532030e-06	1.053225e-06	4.788052e-07
0.08          	3.259778e-07	2.877439e+00	1.657620e-06	1.154788e-06	5.028320e-07
0.09          	3.519653e-07	2.692354e+00	1.745532e-06	1.224731e-06	5.208007e-07
0.1           	3.688100e-07	2.543656e+00	1.819479e-06	1.278550e-06	5.409297e-07
0.11          	3.790796e-07	2.421596e+00	1.874080e-06	1.316120e-06	5.579605e-07
0.12          	3.846091e-07	2.319465e+00	1.918275e-06	1.343746e-06	5.745282e-07
0.13          	3.867132e-07	2.232621e+00	1.941511e-06	1.357469e-06	5.840422e-07
0.14          	3.863567e-07	2.157793e+00	1.953088e-06	1.362901e-06	5.901870e-07
0.15          	3.842458e-07	2.092621e+00	1.965419e-06	1.366955e-06	5.984637e-07
0.16          	3.808951e-07	2.035350e+00	1.971026e-06	1.366408e-06	6.046177e-07
0.17          	3.766760e-07	1.984635e+00	1.982907e-06	1.368130e-06	6.147777e-07
0.18          	3.718645e-07	1.939455e+00	1.990352e-06	1.367040e-06	6.233114e-07
0.19          	3.666596e-07	1.898982e+00	1.991426e-06	1.362373e-06	6.290536e-07
0.2           	3.612067e-07	1.862578e+00	1.986789e-06	1.354601e-06	6.321876e-07
0.21          	3.556100e-07	1.829693e+00	1.983505e-06	1.347362e-06	6.361424e-07
0.22          	3.499449e-07	1.799911e+00	1.977550e-06	1.338720e-06	6.388302e-07
0.23          	3.442668e-07	1.772847e+00	1.972381e-06	1.330457e-06	6.419239e-07
0.24          	3.386143e-07	1.748215e+00	1.968970e-06	1.323099e-06	6.458707e-07
0.25          	3.330166e-07	1.725735e+00	1.962421e-06	1.314227e-06	6.481939e-07
0.26          	3.274911e-07	1.705197e+00	1.955599e-06	1.305291e-06	6.503086e-07
0.27          	3.220514e-07	1.686406e+00	1.948825e-06	1.296464e-06	6.523609e-07
0.28          	3.167051e-07	1.669191e+00	1.945645e-06	1.289528e-06	6.561176e-07
0.29          	3.114585e-07	1.653414e+00	1.943564e-06	1.283240e-06	6.603232e-07
0.3           	3.063129e-07	1.638939e+00	1.945182e-06	1.278904e-06	6.662781e-07
0.31          	3.012687e-07	1.625657e+00	1.945574e-06	1.274056e-06	6.715180e-07
0.32          	2.963264e-07	1.613471e+00	1.944452e-06	1.268552e-06	6.758995e-07
0.33          	2.914875e-07	1.602282e+00	1.884399e-06	1.233687e-06	6.507121e-07
0.34          	2.867499e-07	1.592017e+00	1.868817e-06	1.221159e-06	6.476588e-07
0.35          	2.821055e-07	1.582601e+00	1.852627e-06	1.208419e-06	6.442078e-07
0.36          	2.775578e-07	1.573979e+00	1.845017e-06	1.200066e-06	6.449507e-07
0.37          	2.731053e-07	1.566078e+00	1.828249e-06	1.187230e-06	6.410193e-07
0.38          	2.905744e-07	1.558845e+00	1.932626e-06	1.256887e-06	6.757385e-07
0.39          	3.027967e-07	1.552247e+00	1.923047e-06	1.264320e-06	6.587268e-07
0.4           	3.620832e-07	1.546227e+00	1.878035e-06	1.301101e-06	5.769343e-07
0.41          	4.065228e-07	1.540750e+00	1.985157e-06	1.399101e-06	5.860558e-07
0.42          	4.400285e-07	1.535779e+00	2.069023e-06	1.474540e-06	5.944832e-07
0.43          	4.652939e-07	1.531277e+00	2.135416e-06	1.533002e-06	6.024141e-07
0.44          	4.842190e-07	1.527216e+00	2.198573e-06	1.583505e-06	6.150675e-07
0.45          	4.981840e-07	1.523571e+00	2.258023e-06	1.627196e-06	6.308275e-07
0.46          	5.082208e-07	1.520301e+00	2.317182e-06	1.666812e-06	6.503703e-07
0.47          	5.151074e-07	1.517390e+00	2.361323e-06	1.695769e-06	6.655541e-07
0.48          	5.194532e-07	1.514815e+00	2.392737e-06	1.715822e-06	6.769152e-07
0.49          	5.217389e-07	1.512555e+00	2.415952e-06	1.729715e-06	6.862372e-07
0.5           	5.223458e-07	1.510587e+00	2.442622e-06	1.743657e-06	6.989651e-07
0.51          	5.215829e-07	1.508900e+00	2.460335e-06	1.751750e-06	7.085844e-07
0.52          	5.196970e-07	1.507466e+00	2.472712e-06	1.756053e-06	7.166592e-07
0.53          	5.168893e-07	1.506273e+00	2.486818e-06	1.760299e-06	7.265199e-07
0.54          	5.133298e-07	1.505306e+00	2.497653e-06	1.762156e-06	7.354967e-07
0.55          	5.091579e-07	1.504549e+00	2.477723e-06	1.748020e-06	7.297038e-07
0.56          	5.044976e-07	1.503991e+00	2.495686e-06	1.752341e-06	7.433453e-07
0.57          	4.994387e-07	1.503618e+00	2.536537e-06	1.767707e-06	7.688298e-07
0.58          	4.940549e-07	1.503421e+00	2.541770e-06	1.764940e-06	7.768299e-07
0.59          	4.884168e-07	1.503392e+00	2.594180e-06	1.785507e-06	8.086731e-07
0.6           	4.825897e-07	1.503506e+00	2.582853e-06	1.774016e-06	8.088368e-07
0.61          	4.766125e-07	1.503762e+00	2.560405e-06	1.756815e-06	8.035898e-07
0.62          	4.705329e-07	1.504150e+00	2.541479e-06	1.741272e-06	8.002065e-07
0.63          	4.643851e-07	1.504662e+00	2.529981e-06	1.729376e-06	8.006054e-07
0.64          	4.581991e-07	1.505290e+00	2.494018e-06	1.705208e-06	7.888100e-07
0.65          	4.520014e-07	1.506020e+00	2.468442e-06	1.686222e-06	7.822195e-07
0.66          	4.458127e-07	1.506852e+00	2.416076e-06	1.653851e-06	7.622254e-07
0.67          	4.396547e-07	1.507773e+00	2.417734e-06	1.648522e-06	7.692125e-07
0.68          	4.335363e-07	1.508782e+00	2.404676e-06	1.635875e-06	7.688019e-07
0.69          	4.274742e-07	1.509871e+00	2.412023e-06	1.633485e-06	7.785371e-07
0.7           	4.214796e-07	1.511033e+00	2.464259e-06	1.653609e-06	8.106499e-07
0.71          	4.155593e-07	1.512260e+00	2.454277e-06	1.642698e-06	8.115792e-07
0.72          	4.097208e-07	1.513542e+00	2.346103e-06	1.582772e-06	7.633307e-07
0.73          	4.039760e-07	1.514885e+00	2.368661e-06	1.588307e-06	7.803545e-07
0.74          	3.983265e-07	1.516278e+00	2.521807e-06	1.659230e-06	8.625772e-07
