# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	2.767381e-09	3.635664e+02	-2.389312e-06	-1.191889e-06	-1.197424e-06
0.01          	-4.573034e-07	1.226720e+01	2.356306e-06	7.208494e-07	1.635456e-06
0.015         	-1.615743e-07	1.910438e+01	-7.542701e-07	-5.387094e-07	-2.155607e-07
0.02          	-2.021569e-09	1.442658e+01	-3.211264e-07	-1.625848e-07	-1.585417e-07
0.025         	1.370671e-07	1.253722e+01	-1.427920e-07	6.567110e-08	-2.084631e-07
0.03          	2.409584e-07	1.120897e+01	-1.508942e-10	2.408829e-07	-2.410338e-07
0.035         	4.446813e-07	1.025252e+01	-2.006145e-07	3.443740e-07	-5.449885e-07
0.04          	5.865599e-07	9.516308e+00	2.510424e-08	5.991120e-07	-5.740077e-07
0.045         	6.848902e-07	8.928419e+00	2.082123e-07	7.889964e-07	-5.807841e-07
0.05          	7.990619e-07	8.445819e+00	4.937608e-07	1.045942e-06	-5.521815e-07
0.055         	8.735411e-07	8.041093e+00	6.451937e-07	1.196138e-06	-5.509443e-07
0.06          	9.205471e-07	7.695697e+00	7.772629e-07	1.309179e-06	-5.319156e-07
0.065         	9.481341e-07	7.396589e+00	8.607454e-07	1.378507e-06	-5.177614e-07
0.07          	9.618505e-07	7.134347e+00	9.378318e-07	1.430766e-06	-4.929346e-07
0.075         	9.655943e-07	6.902013e+00	9.721283e-07	1.451658e-06	-4.795302e-07
0.08          	1.107492e-06	6.694311e+00	5.621191e-07	1.388552e-06	-8.264326e-07
0.085         	1.203331e-06	6.507239e+00	7.635822e-07	1.585122e-06	-8.215401e-07
0.09          	1.266977e-06	6.337603e+00	8.730857e-07	1.703520e-06	-8.304344e-07
0.095         	1.307578e-06	6.182887e+00	9.872349e-07	1.801195e-06	-8.139603e-07
